b (mm),h (mm),r0 (mm),t (mm),R (%),fy (MPa),fc (MPa),L (mm),e1 (mm),e2 (mm),Nexp (kN),r0/h,b/t,Ac (mm^2),As (mm^2),Re (mm),te (mm),ke,xi,sigma_re (MPa),lambda,lambda_bar,e/h,e1/e2,e_bar
100,100,0,14.2,0,444.6,118.24,300,0,0,3325,0,7.042253521,5126.56,4066.88,40.39597418,13.69989294,0.333333333,2.982911378,50.26055629,9.964394211,0.12853093,0,0,0
100,100,0,14.2,0,444.6,101.38,300,0,0,3175.2,0,7.042253521,5126.56,4066.88,40.39597418,13.69989294,0.333333333,3.478984428,50.26055629,9.964394211,0.126445313,0,0,0
100,100,0,14.2,0,444.6,101.38,300,0,0,3315.9,0,7.042253521,5126.56,4066.88,40.39597418,13.69989294,0.333333333,3.478984428,50.26055629,9.964394211,0.126445313,0,0,0
100,100,0,14.2,0,444.6,79.53,300,0,0,3473.6,0,7.042253521,5126.56,4066.88,40.39597418,13.69989294,0.333333333,4.434797452,50.26055629,9.964394211,0.123697117,0,0,0
100,100,0,18.5,0,444.6,118.24,300,0,0,3714.4,0,5.405405405,3969,4662,35.54394376,16.87106008,0.333333333,4.416682776,70.34366023,9.654781199,0.124876034,0,0,0
100,100,0,18.5,0,444.6,118.24,300,0,0,3635,0,5.405405405,3969,4662,35.54394376,16.87106008,0.333333333,4.416682776,70.34366023,9.654781199,0.124876034,0,0,0
200,200,0,3.9,0,322.8,34.4,3810,0,0,1608,0,51.28205128,36940.84,2998.32,108.437238,4.314832861,0.333333333,0.761633957,4.281518273,65.94093041,0.745677001,0,0,0
200,200,0,3.9,0,322.8,34.4,3810,0,0,1854,0,51.28205128,36940.84,2998.32,108.437238,4.314832861,0.333333333,0.761633957,4.281518273,65.94093041,0.745677001,0,0,0
200,200,0,3.9,0,322.8,34.4,3810,0,0,1578,0,51.28205128,36940.84,2998.32,108.437238,4.314832861,0.333333333,0.761633957,4.281518273,65.94093041,0.745677001,0,0,0
200,200,0,3.9,0,322.8,34.4,3810,0,0,1549,0,51.28205128,36940.84,2998.32,108.437238,4.314832861,0.333333333,0.761633957,4.281518273,65.94093041,0.745677001,0,0,0
200,200,0,3.9,0,322.8,34.4,3810,0,0,1424,0,51.28205128,36940.84,2998.32,108.437238,4.314832861,0.333333333,0.761633957,4.281518273,65.94093041,0.745677001,0,0,0
200,200,0,3.9,0,322.8,34.4,3810,0,0,1307,0,51.28205128,36940.84,2998.32,108.437238,4.314832861,0.333333333,0.761633957,4.281518273,65.94093041,0.745677001,0,0,0
470,470,0,4,0,421.8,126.77,918,0,0,5711.7,0,117.5,213444,7392,260.6555876,4.475100978,0.333333333,0.115230671,2.413910261,6.765073578,0.120948294,0,0,0
470,470,0,4,0,421.8,126.77,918,51,51,4407.7,0,117.5,213444,7392,260.6555876,4.475100978,0.333333333,0.115230671,2.413910261,6.765073578,0.120948294,0.108510638,1,0.650875201
470,470,0,4,0,421.8,126.77,918,102,102,3692.2,0,117.5,213444,7392,260.6555876,4.475100978,0.333333333,0.115230671,2.413910261,6.765073578,0.120948294,0.217021277,1,1.301750402
470,470,0,6,0,381.5,126.77,918,0,0,6595.4,0,78.33333333,209764,10992,258.3988293,6.68383187,0.333333333,0.15769714,3.289336186,6.76384811,0.115002767,0,0,0
470,470,0,6,0,381.5,126.77,918,51,51,4818,0,78.33333333,209764,10992,258.3988293,6.68383187,0.333333333,0.15769714,3.289336186,6.76384811,0.115002767,0.108510638,1,0.650639415
470,470,0,6,0,381.5,126.77,918,102,102,4059.6,0,78.33333333,209764,10992,258.3988293,6.68383187,0.333333333,0.15769714,3.289336186,6.76384811,0.115002767,0.217021277,1,1.30127883
470,470,0,8,0,361.8,126.77,918,102,102,4808.1,0,58.75,206116,14528,256.1420709,8.873337163,0.333333333,0.201162117,4.177855118,6.762132082,0.110173221,0.217021277,1,1.30061863
200,200,0,4,0,298,23.41,1600,40,40,1222,0,50,36864,3072,108.3244,4.423210198,0.333333333,1.060800228,4.056077973,27.6906338,0.284903012,0.2,1,1.19808
200,200,0,4,0,298,23.41,1600,40,40,1187,0,50,36864,3072,108.3244,4.423210198,0.333333333,1.060800228,4.056077973,27.6906338,0.284903012,0.2,1,1.19808
200,200,0,4,0,298,23.41,1600,40,40,1145,0,50,36864,3072,108.3244,4.423210198,0.333333333,1.060800228,4.056077973,27.6906338,0.284903012,0.2,1,1.19808
200,200,0,4,0,298,23.41,1600,40,40,1206,0,50,36864,3072,108.3244,4.423210198,0.333333333,1.060800228,4.056077973,27.6906338,0.284903012,0.2,1,1.19808
200,200,0,4,0,298,23.41,1600,40,40,1177,0,50,36864,3072,108.3244,4.423210198,0.333333333,1.060800228,4.056077973,27.6906338,0.284903012,0.2,1,1.19808
200,200,0,4,0,298,23.41,1600,80,80,804,0,50,36864,3072,108.3244,4.423210198,0.333333333,1.060800228,4.056077973,27.6906338,0.284903012,0.4,1,2.39616
200,200,0,4,0,298,23.41,1600,80,80,811,0,50,36864,3072,108.3244,4.423210198,0.333333333,1.060800228,4.056077973,27.6906338,0.284903012,0.4,1,2.39616
